akamai,AS20940|AS32787|AS12222|AS200005|AS24319|AS35994|AS34164|AS16625|AS21342|AS31108|AS26008|AS43639|AS31984|AS17204|AS18680|AS33905|AS49846|AS35204|AS393560|AS18717|AS393234
bilibili,AS140633
cloudflare,AS395747|AS394536|AS209242|AS203898|AS202623|AS14789|AS139242|AS133877|AS13335|AS132892
facebook,AS63293|AS54115|AS32934
fastly,AS54113
google,AS6432|AS55023|AS45566|AS43515|AS41264|AS40873|AS396982|AS395973|AS394699|AS394639|AS394507|AS36987|AS36492|AS36385|AS36384|AS36040|AS36039|AS26910|AS26684|AS22859|AS22577|AS19527|AS19448|AS19425|AS16591|AS16550|AS15169|AS13949|AS139190|AS139070
netflix,AS55095|AS40027|AS394406|AS2906
telegram,AS62041|AS62014|AS59930|AS44907|AS211157
twitter,AS8945|AS63179|AS54888|AS35995|AS13414
